State,2015,2016,2017,2018,Party
Iowa,6.024096385542169,3.225806451612903,7.333333333333333,12.76595744680851,R
South Dakota,16.666666666666664,4.166666666666666,3.9215686274509802,6.122448979591836,R
Missouri,19.747899159663866,4.5662100456621,6.60377358490566,9.95260663507109,R
Arkansas,7.722007722007722,4.680851063829787,9.174311926605505,14.537444933920703,R
Kansas,7.6923076923076925,5.88235294117647,10.569105691056912,12.396694214876034,R
Illinois,10.290827740492169,6.122448979591836,6.683804627249357,11.263736263736265,D
West Virginia,13.709677419354838,6.1946902654867255,7.894736842105263,10.743801652892563,R
Maine,10.138248847926267,6.403940886699508,8.60215053763441,10.555555555555555,D
Tennessee,11.78343949044586,7.876712328767123,9.48905109489051,12.63537906137184,R
South Carolina,12.121212121212121,8.264462809917356,17.431192660550458,17.142857142857142,R
Minnesota,12.757201646090536,8.333333333333332,12.053571428571429,16.595744680851062,D
Utah,15.315315315315313,8.620689655172415,11.594202898550725,15.2317880794702,R
Alabama,8.121827411167512,8.808290155440414,10.857142857142858,9.6045197740113,R
Indiana,10.197368421052632,9.30232558139535,12.363636363636363,12.5,R
Virginia,16.608996539792386,9.89010989010989,12.830188679245284,17.813765182186234,D
Mississippi,17.142857142857142,9.94475138121547,13.872832369942195,15.789473684210526,R
Louisiana,16.666666666666664,10.16042780748663,14.204545454545455,19.78021978021978,R
Pennsylvania,17.483660130718953,10.238907849829351,14.185639229422067,16.577540106951872,R
Wisconsin,17.073170731707318,10.465116279069768,14.047619047619047,18.271604938271604,R
Colorado,20.689655172413794,10.75268817204301,11.351351351351353,15.384615384615385,D
Texas,16.49214659685864,11.049723756906078,13.78299120234604,15.133531157270031,R
Nebraska,18.852459016393443,11.538461538461538,14.285714285714285,13.970588235294118,R
Oregon,15.135135135135137,11.76470588235294,16.666666666666664,15.853658536585366,D
Washington,19.172932330827066,12.014134275618375,16.40378548895899,17.97752808988764,D
North Dakota,15.151515151515152,12.5,12.5,20.588235294117645,R
Florida,21.414913957934992,13.061224489795919,15.991471215351813,19.294605809128633,R
Ohio,15.789473684210526,13.588850174216027,17.422867513611614,16.873889875666073,R
Nevada,25.0,13.725490196078432,17.391304347826086,20.833333333333336,D
Alaska,16.50485436893204,14.14141414141414,16.27906976744186,15.384615384615385,R
North Carolina,18.128654970760234,14.144736842105262,16.731517509727624,16.376306620209057,R
Michigan,13.866666666666665,14.206128133704734,15.727002967359049,18.13031161473088,R
Rhode Island,9.375,14.516129032258066,16.071428571428573,19.642857142857142,D
Idaho,27.1356783919598,14.689265536723164,17.80821917808219,20.47244094488189,R
Montana,21.649484536082475,14.772727272727273,12.643678160919542,14.457831325301203,R
Massachusetts,21.764705882352942,15.04424778761062,21.58730158730159,23.278688524590162,D
Hawaii,17.02127659574468,15.555555555555555,22.857142857142858,23.684210526315788,D
Wyoming,16.666666666666664,15.686274509803921,14.285714285714285,18.75,R
New Jersey,15.223880597014924,16.037735849056602,18.627450980392158,20.447284345047922,D
New York,24.16243654822335,16.05351170568562,18.14946619217082,19.644970414201183,D
Maryland,26.557377049180324,16.095890410958905,21.59090909090909,25.101214574898783,D
Arizona,22.53886010362694,16.137566137566136,19.086021505376344,25.205479452054796,R
New Mexico,24.675324675324674,16.666666666666664,20.689655172413794,27.692307692307693,D
Kentucky,16.972477064220186,16.7420814479638,14.903846153846153,12.558139534883722,R
Oklahoma,16.0,16.89189189189189,22.377622377622377,21.91780821917808,R
Georgia,21.610169491525426,16.894977168949772,21.0,21.91780821917808,R
California,23.001095290251918,17.045454545454543,19.7459584295612,25.26439482961222,D
Connecticut,19.502074688796682,18.88412017167382,25.925925925925924,32.158590308370044,D
Vermont,17.105263157894736,19.736842105263158,27.027027027027028,24.65753424657534,D
New Hampshire,20.8955223880597,22.58064516129032,33.33333333333333,24.137931034482758,D
Delaware,29.03225806451613,24.137931034482758,36.36363636363637,25.0,D
District of Columbia,36.84210526315789,26.82926829268293,27.027027027027028,37.142857142857146,D
