State,2016,Party
Puerto Rico,2.929305249953845,I
New York,4.655142864201292,D
District of Columbia,4.72947258823107,D
New Jersey,4.758632129564344,D
California,5.409096018605608,D
Massachusetts,5.7330395354017725,D
Utah,5.774947761144839,R
Illinois,5.922269615513991,D
Connecticut,6.0674374336237,D
Rhode Island,6.568522724850368,D
Louisiana,6.797984295997339,R
Texas,7.131418292086674,R
Michigan,7.230486557027358,R
Minnesota,7.348977966024343,D
Vermont,7.402204516270723,D
Wisconsin,7.494949868354743,R
Indiana,7.542941001352323,R
Iowa,7.639682862269013,R
Pennsylvania,7.831891489462363,R
Mississippi,7.839470930312512,R
Maryland,7.980992579117517,D
Kentucky,8.001631412250605,R
Kansas,8.054237462500941,R
Ohio,8.108973614378911,R
North Dakota,8.13310514515785,R
Georgia,8.303859915743546,R
Tennessee,8.346627578335932,R
Nebraska,8.444476827483486,R
Delaware,8.495382390154823,D
North Carolina,8.573552765510293,R
Arkansas,8.687526053002514,R
Florida,8.712900619363106,R
Alabama,8.827732875996425,R
Colorado,8.859480926963249,D
Idaho,8.893511698370526,R
Missouri,8.973662047071132,R
New Mexico,8.986300642623481,D
New Hampshire,9.126465294551016,D
Oregon,9.180491165354038,D
Arizona,9.182419509447163,R
Nevada,9.231479129737515,D
Oklahoma,9.360326129009925,R
South Dakota,9.451474325328967,R
West Virginia,9.490865130897689,R
Washington,9.573169721502769,D
Maine,9.579284894118699,D
South Carolina,9.599287022349248,R
Hawaii,9.674123412766233,D
Virginia,10.43542733345504,D
Montana,10.539875560379116,R
Wyoming,10.748445449406445,R
Alaska,12.213063342253035,R
