"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"0400000US39","Ohio","4606655","12584","124849","3740","135370","4776","58266","2997","43522","3648","(X)","(X)","2.7","0.1","2.9","0.1","1.3","0.1","0.9","0.1","65764","3670","22543","2294","19793","2269","14754","1580","8674","1665","1.4","0.1","18.1","1.7","14.6","1.6","25.3","2.5","19.9","3.5"
"0400000US40","Oklahoma","1465951","6457","95183","2853","17985","1758","21749","1511","14003","1445","(X)","(X)","6.5","0.2","1.2","0.1","1.5","0.1","1","0.1","31835","2147","23794","1798","1216","374","5547","900","1278","521","2.2","0.1","25","2","6.8","2","25.5","3.9","9.1","3.7"
"0400000US41","Oregon","1553205","7348","126965","4505","48727","3491","48313","2454","9504","1590","(X)","(X)","8.2","0.3","3.1","0.2","3.1","0.2","0.6","0.1","41990","3900","23543","3257","5024","1064","11064","1662","2359","925","2.7","0.3","18.5","2.5","10.3","2","22.9","3.1","24.8","8.1"
"0400000US42","Pennsylvania","4956037","11868","237189","4892","217705","6272","94738","3542","33795","2834","(X)","(X)","4.8","0.1","4.4","0.1","1.9","0.1","0.7","0.1","117094","4774","50208","3479","35149","2741","26853","2133","4884","1258","2.4","0.1","21.2","1.4","16.1","1.1","28.3","2","14.5","3.6"
"0400000US44","Rhode Island","407484","4045","46115","2625","38571","2924","9137","1444","3352","877","(X)","(X)","11.3","0.6","9.5","0.7","2.2","0.4","0.8","0.2","25085","2264","14473","1929","6936","1372","3099","1130","577","377","6.2","0.5","31.4","3.6","18","3.3","33.9","10.3","17.2","10.8"
"0400000US45","South Carolina","1857768","9376","78191","3840","33757","2309","19193","1897","5088","1228","(X)","(X)","4.2","0.2","1.8","0.1","1","0.1","0.3","0.1","27161","2915","19556","2463","2499","763","4157","1075","949","481","1.5","0.2","25","2.9","7.4","2.1","21.7","5.3","18.7","8.6"
"0400000US46","South Dakota","339437","2931","9353","1379","7031","1260","3332","842","7773","1113","(X)","(X)","2.8","0.4","2.1","0.4","1","0.2","2.3","0.3","4693","1095","1371","516","967","540","1018","543","1337","659","1.4","0.3","14.7","5.8","13.8","6.9","30.6","14.8","17.2","7.8"
"0400000US47","Tennessee","2530260","10743","92139","3726","39009","3052","27940","2411","16522","1936","(X)","(X)","3.6","0.1","1.5","0.1","1.1","0.1","0.7","0.1","39338","3113","24708","2240","3784","1114","6121","1074","4725","1169","1.6","0.1","26.8","2.3","9.7","2.5","21.9","3.6","28.6","6.2"
"0400000US48","Texas","9421412","21122","2697670","18235","266059","7865","290012","5870","94647","5587","(X)","(X)","28.6","0.2","2.8","0.1","3.1","0.1","1","0.1","757651","15621","638008","14220","31134","3169","74432","4448","14077","2153","8","0.2","23.7","0.5","11.7","1.2","25.7","1.5","14.9","2.1"
"0400000US49","Utah","930980","5092","103014","3641","28398","2459","24397","2075","8414","1357","(X)","(X)","11.1","0.4","3.1","0.3","2.6","0.2","0.9","0.1","20935","2161","15999","1911","1859","745","2320","761","757","416","2.2","0.2","15.5","1.8","6.5","2.5","9.5","3","9","4.7"
"0400000US50","Vermont","254865","3016","4017","707","12721","1681","1964","620","1481","506","(X)","(X)","1.6","0.3","5","0.7","0.8","0.2","0.6","0.2","1479","432","243","261","977","303","62","102","197","199","0.6","0.2","6","6","7.7","2.4","3.2","5.2","13.3","13"
"0400000US51","Virginia","3106895","11857","202424","5468","128130","6227","126345","4231","48851","2837","(X)","(X)","6.5","0.2","4.1","0.2","4.1","0.1","1.6","0.1","80969","4359","38255","3502","11824","1618","24035","2048","6855","1576","2.6","0.1","18.9","1.6","9.2","1.1","19","1.6","14","3"
"0400000US53","Washington","2728573","8477","209794","4984","122131","6156","173081","4393","28766","2632","(X)","(X)","7.7","0.2","4.5","0.2","6.3","0.2","1.1","0.1","101919","5363","43861","3591","15240","1779","37003","2494","5815","1400","3.7","0.2","20.9","1.6","12.5","1.4","21.4","1.4","20.2","4.5"
"0400000US54","West Virginia","734536","5346","10609","1766","8002","1420","4562","864","976","480","(X)","(X)","1.4","0.2","1.1","0.2","0.6","0.1","0.1","0.1","2319","617","505","342","832","410","948","416","34","57","0.3","0.1","4.8","3.2","10.4","4.8","20.8","8.2","3.5","5.7"
"0400000US55","Wisconsin","2319538","7046","109167","3561","56173","3172","37866","2254","8419","1271","(X)","(X)","4.7","0.2","2.4","0.1","1.6","0.1","0.4","0.1","35374","2839","19572","1908","6867","1051","7489","1380","1446","779","1.5","0.1","17.9","1.6","12.2","1.7","19.8","3.4","17.2","8"
"0400000US56","Wyoming","228937","3666","11688","1539","2500","667","2252","672","1749","591","(X)","(X)","5.1","0.7","1.1","0.3","1","0.3","0.8","0.3","2982","935","1927","695","299","290","548","533","208","325","1.3","0.4","16.5","5.6","12","10.6","24.3","19.8","11.9","16.9"
"0400000US72","Puerto Rico","1221851","9077","1166079","9324","1835","510","478","346","135","165","(X)","(X)","95.4","0.3","0.2","0.1","0","0.1","0","0.1","840724","9320","840118","9387","341","262","130","160","135","165","68.8","0.6","72","0.7","18.6","12.6","27.2","30.8","100","63.7"
