"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Total!!Estimate!!All households","Total!!Margin of Error!!All households","Total!!Estimate!!Households speaking!!Spanish","Total!!Margin of Error!!Households speaking!!Spanish","Total!!Estimate!!Households speaking!!Other Indo-European languages","Total!!Margin of Error!!Households speaking!!Other Indo-European languages","Total!!Estimate!!Households speaking!!Asian and Pacific Island languages","Total!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Total!!Estimate!!Households speaking!!Other languages","Total!!Margin of Error!!Households speaking!!Other languages","Percent!!Estimate!!All households","Percent!!Margin of Error!!All households","Percent!!Estimate!!Households speaking!!Spanish","Percent!!Margin of Error!!Households speaking!!Spanish","Percent!!Estimate!!Households speaking!!Other Indo-European languages","Percent!!Margin of Error!!Households speaking!!Other Indo-European languages","Percent!!Estimate!!Households speaking!!Asian and Pacific Island languages","Percent!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Percent!!Estimate!!Households speaking!!Other languages","Percent!!Margin of Error!!Households speaking!!Other languages","Limited English-speaking households!!Estimate!!All households","Limited English-speaking households!!Margin of Error!!All households","Limited English-speaking households!!Estimate!!Households speaking!!Spanish","Limited English-speaking households!!Margin of Error!!Households speaking!!Spanish","Limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages","Limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Limited English-speaking households!!Estimate!!Households speaking!!Other languages","Limited English-speaking households!!Margin of Error!!Households speaking!!Other languages","Percent limited English-speaking households!!Estimate!!All households","Percent limited English-speaking households!!Margin of Error!!All households","Percent limited English-speaking households!!Estimate!!Households speaking!!Spanish","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Spanish","Percent limited English-speaking households!!Estimate!!Households speaking!!Other Indo-European languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other Indo-European languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Asian and Pacific Island languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Asian and Pacific Island languages","Percent limited English-speaking households!!Estimate!!Households speaking!!Other languages","Percent limited English-speaking households!!Margin of Error!!Households speaking!!Other languages"
"0400000US01","Alabama","1846390","11341","58691","3082","20554","2244","17587","1814","5934","1458","(X)","(X)","3.2","0.2","1.1","0.1","1","0.1","0.3","0.1","21298","2571","14453","2231","2008","639","4320","1090","517","341","1.2","0.1","24.6","3.4","9.8","2.9","24.6","5.8","8.7","5.6"
"0400000US02","Alaska","250185","2685","12693","1602","7471","1181","13201","1595","12626","1092","(X)","(X)","5.1","0.6","3","0.5","5.3","0.6","5","0.4","4986","810","992","534","391","221","2129","585","1474","349","2","0.3","7.8","4","5.2","2.9","16.1","4.6","11.7","2.5"
"0400000US04","Arizona","2463008","12455","481841","8321","70698","4222","58378","3419","65731","3489","(X)","(X)","19.6","0.3","2.9","0.2","2.4","0.1","2.7","0.1","107559","5477","78599","4233","6993","1250","11106","1714","10861","1490","4.4","0.2","16.3","0.9","9.9","1.7","19","3","16.5","2.1"
"0400000US05","Arkansas","1144663","8300","52692","2473","12575","1692","13261","1612","1907","549","(X)","(X)","4.6","0.2","1.1","0.1","1.2","0.1","0.2","0.1","19630","1975","14022","1744","1068","584","4135","1084","405","375","1.7","0.2","26.6","3.1","8.5","4.4","31.2","6.4","21.2","17"
"0400000US06","California","12896357","19487","3323669","17349","756093","12275","1400470","13510","158129","7203","(X)","(X)","25.8","0.1","5.9","0.1","10.9","0.1","1.2","0.1","1209910","14521","673831","12686","119160","5821","385360","8690","31559","3180","9.4","0.1","20.3","0.4","15.8","0.7","27.5","0.5","20","1.8"
"0400000US08","Colorado","2074735","7548","245358","6175","66194","4423","46103","2919","18462","2151","(X)","(X)","11.8","0.3","3.2","0.2","2.2","0.1","0.9","0.1","62518","3651","39696","3119","6657","1298","11326","1627","4839","1290","3","0.2","16.2","1.2","10.1","1.8","24.6","3.3","26.2","6.4"
"0400000US09","Connecticut","1343703","6712","163238","4531","121367","4320","33790","2638","13123","2099","(X)","(X)","12.1","0.3","9","0.3","2.5","0.2","1","0.2","70032","4081","39523","3230","21043","2228","7872","1211","1594","659","5.2","0.3","24.2","1.8","17.3","1.8","23.3","3.5","12.1","4.9"
"0400000US10","Delaware","352595","3920","25225","1651","12767","1390","8972","1290","2987","833","(X)","(X)","7.2","0.4","3.6","0.4","2.5","0.4","0.8","0.2","8241","1507","5222","1168","1221","544","1591","560","207","263","2.3","0.4","20.7","4.6","9.6","4.2","17.7","6.2","6.9","8.6"
"0400000US11","District of Columbia","281787","3030","26393","2193","17195","1795","5737","842","6203","1361","(X)","(X)","9.4","0.8","6.1","0.6","2","0.3","2.2","0.5","9729","1950","6466","1628","942","467","1111","407","1210","614","3.5","0.7","24.5","5.7","5.5","2.8","19.4","7","19.5","9.3"
"0400000US12","Florida","7463184","23147","1504157","12875","447595","11699","124733","4362","50753","4137","(X)","(X)","20.2","0.2","6","0.2","1.7","0.1","0.7","0.1","512172","12514","400194","11017","77366","4191","28171","2880","6441","1221","6.9","0.2","26.6","0.7","17.3","0.8","22.6","2","12.7","2.3"
"0400000US13","Georgia","3656407","14418","266528","7774","119614","6520","85611","3696","37290","3924","(X)","(X)","7.3","0.2","3.3","0.2","2.3","0.1","1","0.1","109131","5284","67435","4133","13460","1998","22820","2294","5416","1264","3","0.1","25.3","1.5","11.3","1.6","26.7","2.4","14.5","3.3"
"0400000US15","Hawaii","445936","4817","13591","1775","9790","1420","118524","4368","1332","505","(X)","(X)","3","0.4","2.2","0.3","26.6","0.9","0.3","0.1","29351","2976","1446","787","1190","553","26715","2636","0","182","6.6","0.7","10.6","5.7","12.2","5.3","22.5","2.1","0","9.8"
"0400000US16","Idaho","597421","4571","43227","2674","10601","1667","6687","1041","3729","993","(X)","(X)","7.2","0.4","1.8","0.3","1.1","0.2","0.6","0.2","10100","1567","7122","1342","1256","482","1002","687","720","410","1.7","0.3","16.5","2.9","11.8","4.5","15","10.1","19.3","10"
"0400000US17","Illinois","4794523","12954","546932","8105","313155","7181","152203","4435","51448","3895","(X)","(X)","11.4","0.2","6.5","0.1","3.2","0.1","1.1","0.1","226566","6814","111927","4717","70151","4261","34924","2587","9564","1932","4.7","0.1","20.5","0.8","22.4","1.2","22.9","1.6","18.6","3.2"
"0400000US18","Indiana","2515143","11611","113635","4462","59245","3546","33563","2481","11305","1759","(X)","(X)","4.5","0.2","2.4","0.1","1.3","0.1","0.4","0.1","41942","3326","24417","2337","7041","1383","8787","1704","1697","530","1.7","0.1","21.5","2","11.9","2.2","26.2","4.3","15","4.3"
"0400000US19","Iowa","1247249","6782","48154","2548","22492","2542","19833","1625","7138","1215","(X)","(X)","3.9","0.2","1.8","0.2","1.6","0.1","0.6","0.1","22761","2378","11082","1665","2605","805","6877","964","2197","887","1.8","0.2","23","3.4","11.6","3.1","34.7","5.2","30.8","10.3"
"0400000US20","Kansas","1111582","6565","77862","2973","21241","2300","20665","1703","9102","1469","(X)","(X)","7","0.3","1.9","0.2","1.9","0.1","0.8","0.1","26171","2084","17752","1826","2419","722","4200","913","1800","582","2.4","0.2","22.8","2.3","11.4","3.3","20.3","4","19.8","6.5"
"0400000US21","Kentucky","1716168","8844","47595","3339","28157","2165","15749","1706","7902","1745","(X)","(X)","2.8","0.2","1.6","0.1","0.9","0.1","0.5","0.1","19949","2041","10110","1519","3324","725","4586","1141","1929","831","1.2","0.1","21.2","3","11.8","2.5","29.1","6.2","24.4","8.8"
"0400000US22","Louisiana","1737908","9569","67939","3967","87651","4204","21971","1730","5450","1175","(X)","(X)","3.9","0.2","5","0.2","1.3","0.1","0.3","0.1","33115","2796","17890","2429","7731","1348","6713","1124","781","507","1.9","0.2","26.3","3","8.8","1.4","30.6","4.4","14.3","8.6"
"0400000US23","Maine","545226","5325","6389","1146","33658","2574","4198","813","2692","817","(X)","(X)","1.2","0.2","6.2","0.5","0.8","0.1","0.5","0.1","6268","1041","560","324","4011","881","1112","463","585","466","1.1","0.2","8.8","4.8","11.9","2.5","26.5","9.9","21.7","13.6"
"0400000US24","Maryland","2177934","7798","151092","4641","123662","5005","88614","3390","47578","3653","(X)","(X)","6.9","0.2","5.7","0.2","4.1","0.2","2.2","0.2","71785","4129","33538","2693","14512","1936","19067","1992","4668","1193","3.3","0.2","22.2","1.7","11.7","1.5","21.5","2","9.8","2.2"
"0400000US25","Massachusetts","2559951","9181","217923","5160","272449","7270","106214","3757","35388","2416","(X)","(X)","8.5","0.2","10.6","0.3","4.1","0.1","1.4","0.1","147131","6136","57014","3852","51279","3969","32661","2589","6177","1421","5.7","0.2","26.2","1.6","18.8","1.3","30.8","2.2","17.5","3.6"
"0400000US26","Michigan","3858532","11041","125063","4259","131185","4216","65903","2806","66849","3808","(X)","(X)","3.2","0.1","3.4","0.1","1.7","0.1","1.7","0.1","69692","3919","20008","1914","18231","2049","16701","1714","14752","2139","1.8","0.1","16","1.6","13.9","1.5","25.3","2.6","22.1","2.9"
"0400000US27","Minnesota","2147262","7978","78827","2985","59335","3617","61103","2336","49916","3044","(X)","(X)","3.7","0.1","2.8","0.2","2.8","0.1","2.3","0.1","57429","4096","17742","2252","6284","1203","16608","1732","16795","2369","2.7","0.2","22.5","2.8","10.6","1.8","27.2","2.8","33.6","4"
"0400000US28","Mississippi","1104371","7926","28456","2570","9156","1590","8125","1424","3698","964","(X)","(X)","2.6","0.2","0.8","0.1","0.7","0.1","0.3","0.1","8921","1706","5616","1390","689","430","2239","839","377","303","0.8","0.2","19.7","4.9","7.5","4.6","27.6","8.6","10.2","8"
"0400000US29","Missouri","2374180","11426","66767","3811","47357","3272","31032","2499","14376","2164","(X)","(X)","2.8","0.2","2","0.1","1.3","0.1","0.6","0.1","26369","2537","12846","1679","4037","920","6738","1094","2748","1068","1.1","0.1","19.2","2.3","8.5","1.8","21.7","3","19.1","6.7"
"0400000US30","Montana","414804","3749","8033","1218","6785","1110","3267","924","3379","699","(X)","(X)","1.9","0.3","1.6","0.3","0.8","0.2","0.8","0.2","1988","765","894","421","277","199","683","596","134","95","0.5","0.2","11.1","5.6","4.1","2.8","20.9","15.8","4","2.9"
"0400000US31","Nebraska","744159","3947","50066","2163","14484","1354","11392","1253","5602","1153","(X)","(X)","6.7","0.3","1.9","0.2","1.5","0.2","0.8","0.2","18455","1774","11751","1577","1772","652","3676","943","1256","606","2.5","0.2","23.5","3","12.2","4.4","32.3","6.9","22.4","9.2"
"0400000US32","Nevada","1042065","7714","195946","4427","36738","3104","66107","3184","11561","1598","(X)","(X)","18.8","0.4","3.5","0.3","6.3","0.3","1.1","0.2","67029","4216","45849","3238","5950","1148","12784","1903","2446","769","6.4","0.4","23.4","1.5","16.2","2.8","19.3","2.5","21.2","6.1"
"0400000US33","New Hampshire","517615","4643","11434","1364","28797","2403","9144","1089","2968","879","(X)","(X)","2.2","0.3","5.6","0.5","1.8","0.2","0.6","0.2","7208","1206","2132","762","2799","806","2085","683","192","187","1.4","0.2","18.6","6","9.7","2.7","22.8","7","6.5","6.4"
"0400000US34","New Jersey","3187963","9239","496002","6646","305973","7831","157315","4355","52108","3390","(X)","(X)","15.6","0.2","9.6","0.2","4.9","0.1","1.6","0.1","220889","5990","130876","5050","49757","3533","34259","2539","5997","1294","6.9","0.2","26.4","1","16.3","1.1","21.8","1.4","11.5","2.5"
"0400000US35","New Mexico","761797","5816","235812","6077","12586","1686","6999","1248","41194","2148","(X)","(X)","31","0.7","1.7","0.2","0.9","0.2","5.4","0.3","39071","3029","32461","2869","1128","586","1301","482","4181","650","5.1","0.4","13.8","1.2","9","4.3","18.6","6.2","10.1","1.5"
"0400000US36","New York","7233694","15840","1058540","9774","709771","11172","365916","7249","120618","5499","(X)","(X)","14.6","0.1","9.8","0.2","5.1","0.1","1.7","0.1","588048","11455","278775","9777","156550","5066","134551","4572","18172","1912","8.1","0.2","26.3","0.8","22.1","0.7","36.8","1.2","15.1","1.4"
"0400000US37","North Carolina","3843745","15042","258420","6305","88906","4732","63287","3365","19256","2282","(X)","(X)","6.7","0.2","2.3","0.1","1.6","0.1","0.5","0.1","98086","4871","71299","3970","10548","1638","13239","1889","3000","894","2.6","0.1","27.6","1.3","11.9","1.8","20.9","2.8","15.6","4.3"
"0400000US38","North Dakota","313475","3584","6705","1296","12087","1667","3022","767","2857","750","(X)","(X)","2.1","0.4","3.9","0.5","1","0.2","0.9","0.2","3512","920","315","384","1810","520","371","215","1016","516","1.1","0.3","4.7","5.6","15","3.8","12.3","7.4","35.6","14.8"
